category,brand,condition,age_months,rating,num_reviews,weight_kg,price
Clothing,Premium,Good,38,4.6,270,14.67,37.96
Sports,Luxury,Like New,18,3.2,458,17.34,200.23
Clothing,SportMax,New,35,3.3,130,0.51,51.35
Health,TechPro,New,20,4.2,313,10.54,96.85
Electronics,Standard,Like New,43,3.0,474,12.28,256.0
Sports,SportMax,Refurbished,15,3.5,957,15.73,86.54
Electronics,SportMax,Like New,50,3.8,243,11.89,368.59
Food,TechPro,Like New,20,3.9,273,18.98,20.35
Automotive,BasicValue,Good,59,4.1,776,0.42,30.71
Electronics,Budget,Fair,59,3.2,508,16.68,61.4
Toys,Generic,Like New,34,4.8,931,3.73,7.97
Sports,EcoFriendly,New,53,4.1,821,0.72,78.32
Clothing,TechPro,New,17,4.6,161,7.96,91.39
Toys,EcoFriendly,Refurbished,14,3.2,726,10.46,24.1
Books,Premium,Fair,39,4.7,748,5.5,11.5
Food,Standard,Fair,59,4.2,492,2.9,5.0
Clothing,SportMax,Good,14,3.3,856,19.74,47.08
Health,EcoFriendly,Refurbished,23,3.0,498,14.17,43.98
Sports,Standard,New,34,4.6,378,1.57,71.39
Sports,Generic,New,6,4.7,779,6.68,45.0
Sports,Standard,Fair,47,3.7,573,6.57,32.6
Books,HomeStyle,Good,26,4.1,738,2.48,14.74
Home & Kitchen,EcoFriendly,Good,13,4.7,4,11.27,71.94
Sports,Generic,New,8,4.4,857,0.61,51.92
Health,Budget,Refurbished,12,3.4,863,12.76,22.69
Sports,Budget,Fair,29,3.3,230,8.27,18.56
Beauty,Generic,Refurbished,42,3.4,524,1.63,6.49
Sports,EcoFriendly,New,1,4.2,573,12.7,136.54
Sports,Premium,Good,5,3.9,619,3.81,128.38
Beauty,Generic,New,57,3.2,472,6.43,8.75
Sports,BasicValue,Good,32,3.5,282,8.6,27.64
Sports,HomeStyle,Fair,38,3.3,410,8.41,38.54
Automotive,Budget,Good,36,4.4,233,6.82,60.23
Home & Kitchen,Luxury,Refurbished,31,4.1,691,7.34,107.96
Food,Generic,Refurbished,48,3.5,267,5.11,5.0
Beauty,BasicValue,Fair,48,5.0,698,12.23,6.22
Toys,Luxury,Like New,1,3.8,854,5.65,70.71
Food,HomeStyle,New,1,4.1,729,19.71,19.17
Electronics,Standard,Like New,31,4.2,438,15.26,367.58
Home & Kitchen,TechPro,Refurbished,23,3.9,609,12.71,76.55
Clothing,TechPro,Fair,10,4.6,143,16.72,43.88
Health,HomeStyle,Refurbished,28,4.7,763,13.58,34.02
Books,SportMax,New,18,4.4,510,4.61,25.75
Clothing,SportMax,Good,32,3.8,550,18.74,42.72
Toys,Standard,Good,0,4.4,952,2.36,26.6
Beauty,Budget,Fair,25,5.0,571,5.29,9.21
Electronics,Generic,Refurbished,0,3.2,651,11.21,148.58
Home & Kitchen,SportMax,New,40,3.7,815,16.95,83.39
Books,SportMax,Refurbished,19,4.8,119,17.77,20.03
Sports,Budget,Good,34,3.7,472,13.3,34.04
Home & Kitchen,SportMax,Refurbished,28,3.6,877,11.02,70.29
Electronics,BasicValue,Good,40,3.4,579,4.82,133.56
Automotive,Premium,New,20,3.4,503,13.03,312.23
Toys,Generic,Like New,32,4.1,954,7.42,9.14
Electronics,Luxury,Refurbished,54,3.5,669,19.46,458.63
Clothing,Standard,Fair,26,3.9,276,10.1,20.71
Clothing,SportMax,Like New,27,4.3,480,3.99,49.05
Home & Kitchen,HomeStyle,Refurbished,34,4.5,511,3.62,48.0
Home & Kitchen,Generic,Refurbished,27,3.9,45,18.31,17.92
Health,TechPro,Like New,52,4.1,699,17.07,55.76
Food,Luxury,Good,20,3.4,160,6.41,24.09
Beauty,EcoFriendly,Fair,30,4.7,322,11.44,18.16
Food,HomeStyle,New,23,3.4,942,19.8,14.14
Sports,Luxury,New,1,3.6,103,13.97,248.32
Toys,Premium,Refurbished,42,4.4,38,5.94,23.21
Food,Luxury,Refurbished,24,4.2,827,10.28,22.62
Sports,Premium,New,56,4.3,19,13.03,93.7
Electronics,Luxury,New,11,4.8,142,7.57,1410.59
Electronics,EcoFriendly,New,1,3.9,958,0.82,874.13
Food,Luxury,Good,21,4.2,341,5.08,19.59
Automotive,Luxury,Refurbished,41,4.6,53,10.79,248.3
Home & Kitchen,BasicValue,Refurbished,59,3.4,4,9.2,11.36
Automotive,Luxury,Fair,5,3.1,883,8.29,243.18
Beauty,Luxury,New,15,5.0,635,14.32,106.31
Clothing,TechPro,Good,18,4.6,830,8.73,56.8
Beauty,TechPro,Fair,25,4.9,790,8.62,35.63
Electronics,Standard,New,11,3.8,57,18.31,429.63
Beauty,EcoFriendly,New,53,4.4,487,18.7,26.58
Sports,Luxury,Like New,0,4.9,998,13.18,296.03
Food,HomeStyle,Like New,2,3.5,655,3.26,14.56
Beauty,Budget,Good,21,3.0,973,1.93,13.85
Automotive,Luxury,New,51,3.4,911,2.05,258.56
Automotive,SportMax,New,47,4.6,611,3.55,150.29
Electronics,SportMax,New,9,4.9,99,1.0,709.66
Clothing,Luxury,Like New,30,3.0,658,10.11,85.44
Beauty,HomeStyle,Fair,3,4.2,335,12.88,26.63
Sports,TechPro,New,48,4.7,159,18.81,91.58
Home & Kitchen,TechPro,New,59,3.3,956,10.96,75.87
Beauty,Generic,Fair,36,4.3,576,19.23,5.92
Books,TechPro,Refurbished,7,3.8,969,0.56,25.85
Automotive,Budget,Like New,33,3.5,902,2.45,82.08
Books,Luxury,New,28,3.1,728,16.09,45.71
Health,SportMax,New,56,4.1,868,15.04,37.62
Toys,Premium,New,38,4.2,662,18.62,31.61
Health,HomeStyle,Refurbished,36,3.5,694,15.04,29.26
Food,Budget,New,16,4.1,595,16.55,8.72
Food,Standard,Like New,21,3.6,18,7.85,11.1
Clothing,BasicValue,New,13,4.4,563,11.51,23.91
Sports,TechPro,New,46,3.2,68,5.93,123.53
Health,Luxury,Refurbished,35,4.9,143,15.81,66.68
Health,Premium,Refurbished,44,4.9,185,1.25,34.41
Clothing,TechPro,Refurbished,22,4.1,842,2.43,63.28
Health,SportMax,Good,11,4.4,953,12.4,62.82
Books,Luxury,Good,49,4.8,193,1.72,21.68
Sports,Generic,Fair,36,3.5,647,7.55,16.78
Home & Kitchen,Generic,Fair,6,5.0,131,7.07,17.9
Toys,Standard,New,59,3.2,444,7.62,12.3
Automotive,BasicValue,Refurbished,18,3.2,450,5.15,64.29
Clothing,Standard,Refurbished,49,3.9,57,14.85,20.25
Sports,SportMax,Good,38,4.5,972,4.83,80.66
Home & Kitchen,EcoFriendly,New,56,3.7,368,1.75,37.22
Sports,EcoFriendly,Good,57,3.0,671,11.16,46.28
Home & Kitchen,HomeStyle,Refurbished,46,4.8,885,18.5,35.6
Books,BasicValue,Refurbished,18,4.9,401,3.41,6.55
Electronics,SportMax,Good,48,4.4,414,19.92,291.05
Clothing,Budget,Good,22,3.1,11,19.18,20.35
Clothing,Standard,Refurbished,15,4.8,971,2.22,29.64
Home & Kitchen,Generic,Good,35,3.9,697,4.66,16.54
Health,Luxury,Good,27,3.2,40,5.27,81.13
Sports,Generic,Refurbished,8,3.6,723,12.1,28.09
Automotive,Generic,New,47,3.3,557,1.62,48.79
Clothing,TechPro,Good,4,4.2,449,1.75,76.2
Electronics,Premium,Good,29,4.7,876,3.38,559.76
Home & Kitchen,Generic,Like New,17,5.0,176,7.6,26.96
Automotive,SportMax,Fair,25,3.8,853,16.6,119.6
Food,Premium,New,40,3.8,384,0.37,17.32
Clothing,Budget,Refurbished,54,4.7,976,10.73,10.67
Electronics,EcoFriendly,Refurbished,22,4.5,676,15.17,379.85
Food,Budget,Fair,18,3.5,77,4.18,5.0
Home & Kitchen,Premium,Good,3,3.5,880,15.16,92.56
Toys,Premium,Good,33,3.7,71,0.54,17.4
Sports,Luxury,New,2,4.0,267,16.35,274.67
Toys,SportMax,Fair,43,4.1,733,15.86,14.0
Health,Budget,Like New,22,4.5,852,12.82,34.22
Home & Kitchen,Budget,Fair,10,3.4,421,12.38,23.71
Electronics,Budget,Good,17,3.8,858,1.91,198.24
Beauty,Luxury,Good,33,3.7,165,9.07,51.95
Home & Kitchen,Standard,Fair,41,4.7,132,15.95,29.48
Electronics,HomeStyle,Like New,9,4.9,329,15.4,424.49
Sports,HomeStyle,Good,42,4.2,970,1.61,57.25
Books,Luxury,Like New,56,3.9,847,3.12,22.24
Electronics,Luxury,Fair,39,4.4,280,17.95,404.55
Toys,Generic,New,2,4.0,671,3.53,13.36
Books,EcoFriendly,Refurbished,21,3.2,512,10.74,13.16
Beauty,SportMax,Good,11,3.4,545,2.66,36.87
Electronics,Standard,Good,25,4.6,120,13.79,273.99
Home & Kitchen,BasicValue,Good,55,4.7,830,7.61,15.21
Electronics,Standard,Refurbished,51,3.4,638,18.49,165.0
Beauty,EcoFriendly,Good,13,4.2,982,10.67,34.48
Beauty,BasicValue,Refurbished,58,3.5,6,13.77,6.24
Clothing,TechPro,Refurbished,22,4.0,750,0.71,51.62
Sports,Generic,New,50,3.5,984,14.77,25.62
Beauty,Premium,Refurbished,27,3.0,952,16.83,35.19
Food,Luxury,Good,24,4.8,211,9.53,21.67
Beauty,Standard,Good,9,4.6,108,9.64,34.79
Health,EcoFriendly,New,46,4.5,368,11.33,50.27
Books,SportMax,Good,41,3.6,517,18.0,12.05
Beauty,EcoFriendly,Fair,58,5.0,740,18.68,13.35
Books,SportMax,Like New,52,3.2,709,7.37,15.25
Sports,TechPro,Fair,29,3.3,822,16.86,72.49
Home & Kitchen,BasicValue,Refurbished,2,4.0,39,13.97,31.69
Books,TechPro,Refurbished,14,4.6,880,9.87,24.55
Electronics,Generic,Good,37,4.3,440,14.4,88.45
Sports,TechPro,Refurbished,44,4.5,325,19.36,99.01
Health,EcoFriendly,Fair,3,3.9,224,14.75,49.44
Automotive,HomeStyle,Like New,13,3.6,804,10.17,186.33
Food,HomeStyle,Like New,35,3.6,258,1.13,9.3
Clothing,Generic,Refurbished,22,4.1,897,6.51,11.75
Health,EcoFriendly,New,1,3.2,318,13.66,87.07
Sports,Generic,Like New,23,4.2,418,7.04,36.24
Sports,Budget,New,48,4.7,955,19.3,37.3
Electronics,Luxury,Fair,8,3.4,994,1.42,606.83
Health,Standard,Fair,39,4.4,571,16.85,22.16
Beauty,BasicValue,Like New,13,4.6,290,3.37,16.74
Beauty,HomeStyle,Fair,4,3.5,77,10.51,25.51
Sports,Budget,New,24,4.4,839,8.84,50.23
Clothing,TechPro,Like New,13,4.8,636,6.1,80.84
Home & Kitchen,SportMax,Fair,24,3.7,502,10.68,60.57
Electronics,SportMax,Like New,52,4.8,946,10.9,296.24
Clothing,HomeStyle,Like New,50,3.7,447,3.42,24.19
Automotive,SportMax,Refurbished,46,4.2,477,17.89,116.35
Health,EcoFriendly,Fair,32,4.4,410,14.9,31.07
Health,SportMax,Fair,3,4.1,521,9.93,48.44
Food,HomeStyle,Like New,12,3.2,227,9.19,13.89
Automotive,HomeStyle,Good,51,3.8,156,10.84,63.06
Sports,Generic,Refurbished,44,4.4,94,12.01,17.08
Automotive,Luxury,Good,35,4.1,810,12.02,232.18
Automotive,Standard,Good,22,3.9,301,12.34,116.75
Sports,Generic,Good,25,4.2,957,2.11,27.62
Toys,SportMax,New,42,4.9,355,18.38,28.27
Home & Kitchen,Budget,Like New,4,4.8,839,13.06,42.6
Beauty,Budget,Like New,8,3.8,28,2.17,23.56
Clothing,TechPro,Fair,40,4.9,406,2.54,30.81
Toys,SportMax,Fair,35,3.2,824,6.71,15.48
Beauty,Premium,Like New,53,4.0,935,12.2,34.97
Beauty,TechPro,Refurbished,9,4.6,116,12.11,47.68
Electronics,BasicValue,Fair,34,3.8,536,17.28,93.63
Automotive,Premium,Good,26,4.5,528,11.78,219.45
Books,TechPro,Fair,58,3.9,178,5.04,7.78
Food,SportMax,Refurbished,52,4.8,176,15.63,8.59
Sports,HomeStyle,Like New,42,4.3,155,4.33,65.07
Books,TechPro,Fair,40,3.3,629,17.23,12.32
Electronics,TechPro,Good,39,4.0,768,6.27,389.47
Beauty,Budget,Fair,55,4.8,31,9.42,5.06
Home & Kitchen,BasicValue,Refurbished,48,3.1,285,16.75,12.52
Electronics,TechPro,Refurbished,50,3.9,193,10.74,365.73
Health,Premium,New,48,3.8,677,15.33,57.63
Beauty,Budget,Fair,54,4.9,799,5.52,5.96
Home & Kitchen,Premium,Good,18,4.3,379,16.03,86.98
Beauty,EcoFriendly,Like New,56,3.4,983,4.0,23.16
Automotive,EcoFriendly,Good,7,3.2,238,11.43,183.83
Beauty,Generic,Fair,7,3.2,95,19.78,9.47
Books,Standard,Fair,31,4.7,490,19.26,6.8
Electronics,SportMax,New,17,3.0,774,14.74,625.35
Toys,Luxury,New,20,3.1,380,17.54,75.62
Electronics,Premium,Like New,0,4.6,915,6.78,916.55
Sports,Premium,Refurbished,1,3.7,118,5.43,106.39
Home & Kitchen,Luxury,Like New,29,3.7,52,5.96,161.4
Automotive,Standard,Refurbished,51,4.9,363,2.89,75.85
Sports,HomeStyle,Good,45,3.9,735,8.56,53.13
Toys,Budget,Refurbished,50,4.0,520,10.88,5.67
Health,Standard,Like New,53,4.3,493,19.69,30.04
Books,Standard,Refurbished,57,4.8,609,5.52,6.78
Electronics,Generic,Refurbished,37,3.1,676,13.06,85.34
Beauty,TechPro,Like New,57,4.4,628,0.32,32.2
Clothing,BasicValue,Like New,11,4.3,820,3.59,24.23
Clothing,Generic,Refurbished,44,4.7,980,7.72,8.43
Clothing,BasicValue,New,59,4.9,704,1.75,12.28
Toys,SportMax,Fair,35,4.5,28,7.85,15.61
Toys,Standard,Refurbished,48,4.4,743,11.37,10.27
Toys,Premium,Fair,33,3.8,663,18.74,17.49
Automotive,Standard,Fair,35,4.1,466,11.94,80.46
Toys,HomeStyle,Like New,42,4.7,506,11.98,21.18
Beauty,Budget,Refurbished,52,3.7,295,14.59,7.7
Books,BasicValue,Refurbished,24,4.4,615,8.75,6.2
Automotive,HomeStyle,Fair,36,3.0,434,5.52,72.24
Health,Generic,Good,33,3.2,612,1.92,12.96
Sports,Standard,Good,46,3.2,591,17.47,44.71
Automotive,Luxury,Fair,7,4.3,80,13.21,293.8
Health,BasicValue,Fair,24,4.8,267,4.5,14.19
Toys,Premium,Fair,25,3.1,537,0.88,21.68
Toys,Budget,Fair,22,4.1,85,18.32,8.06
Sports,EcoFriendly,Good,13,3.2,518,6.02,84.44
Toys,Generic,Refurbished,29,3.1,994,6.45,6.83
Books,SportMax,New,41,4.3,525,11.97,19.75
Food,Luxury,New,33,4.8,170,6.86,28.98
Sports,TechPro,Fair,54,3.8,38,6.37,55.14
Food,Luxury,Fair,24,4.5,160,17.73,17.09
Automotive,HomeStyle,New,41,4.8,449,0.59,153.42
Clothing,Generic,Like New,31,4.9,890,19.96,16.16
Beauty,Luxury,Good,51,3.1,476,0.85,47.91
Health,EcoFriendly,Fair,43,5.0,265,1.92,23.98
Food,SportMax,Good,38,4.0,576,4.85,10.91
Beauty,SportMax,Good,29,4.7,145,4.75,32.51
Toys,HomeStyle,Good,24,3.6,948,19.76,15.8
Books,Generic,Like New,23,3.2,186,19.0,5.34
Clothing,Luxury,Good,36,3.2,709,19.65,63.88
Clothing,SportMax,Like New,12,5.0,710,19.82,73.57
Sports,Luxury,Fair,58,3.8,860,13.03,61.71
Books,BasicValue,Refurbished,9,3.1,824,4.49,8.17
Health,Generic,New,48,4.9,887,7.07,17.74
Sports,Generic,Like New,16,3.3,159,9.32,31.37
Toys,Budget,Good,12,3.4,88,11.9,11.09
Electronics,SportMax,Like New,40,3.8,634,2.68,444.16
Books,Premium,New,8,3.1,737,17.26,35.85
Food,Generic,Like New,4,4.5,225,8.23,6.65
Automotive,Standard,New,14,3.0,250,14.5,173.92
Health,Generic,Fair,59,3.2,795,1.62,5.7
Automotive,HomeStyle,Good,16,3.1,300,9.66,158.29
Home & Kitchen,Premium,Good,55,4.3,39,11.36,50.67
Automotive,Standard,New,44,4.5,215,15.97,144.0
Beauty,HomeStyle,New,58,3.3,780,16.76,21.21
Health,Premium,Like New,24,4.9,355,12.41,72.2
Home & Kitchen,BasicValue,Good,42,4.9,760,0.68,20.34
Clothing,Luxury,New,22,3.0,671,6.77,100.22
Food,TechPro,Refurbished,35,4.1,588,10.2,14.11
Health,BasicValue,Like New,38,3.4,524,12.38,17.8
Food,TechPro,Fair,30,3.8,447,10.85,11.09
Automotive,Generic,Refurbished,34,3.3,466,15.24,42.13
Beauty,Generic,Refurbished,27,4.3,221,15.1,9.27
Health,Premium,Refurbished,21,4.9,863,15.44,65.99
Clothing,Luxury,Like New,53,3.7,473,1.59,62.36
Books,Standard,Like New,17,4.7,703,13.55,20.11
Sports,Budget,Refurbished,51,4.5,6,1.41,20.23
Clothing,Budget,New,32,3.6,78,16.39,22.21
Beauty,HomeStyle,Refurbished,3,3.9,396,17.1,27.5
Automotive,Generic,New,14,4.6,156,6.04,88.55
Sports,Generic,Good,19,4.3,538,17.37,29.15
Automotive,Standard,Like New,43,3.1,988,18.88,127.28
Books,BasicValue,Like New,5,4.5,452,19.68,8.48
Beauty,Standard,Refurbished,0,3.6,933,4.68,25.77
Sports,Budget,Good,14,3.9,538,19.37,46.1
Home & Kitchen,Standard,New,45,3.4,604,15.55,52.24
Home & Kitchen,Generic,Refurbished,51,3.0,348,2.71,12.25
Health,Generic,Fair,52,4.8,377,12.37,7.08
Clothing,HomeStyle,Good,13,4.2,893,13.74,43.84
Beauty,Generic,Refurbished,35,4.1,943,9.88,8.25
Food,HomeStyle,Fair,52,4.2,583,6.28,5.0
Clothing,BasicValue,New,12,3.3,788,1.54,23.49
Beauty,EcoFriendly,Refurbished,30,4.4,10,13.93,20.19
Books,Premium,New,32,4.9,424,0.89,24.47
Sports,BasicValue,Refurbished,16,3.2,45,2.94,30.26
Electronics,Generic,Refurbished,15,4.0,91,14.08,129.67
Electronics,Budget,Fair,59,3.1,224,1.85,66.48
Food,HomeStyle,Good,12,3.2,588,1.66,10.03
Home & Kitchen,BasicValue,Fair,38,3.4,121,16.03,13.54
Automotive,Standard,Fair,33,3.1,427,2.18,84.69
Toys,TechPro,Good,5,4.2,72,1.13,46.41
Toys,Standard,Like New,31,3.6,715,17.43,21.72
Toys,TechPro,Fair,46,4.6,6,13.25,18.65
Books,TechPro,Refurbished,15,4.1,313,15.7,22.08
Electronics,HomeStyle,New,59,4.5,970,14.52,260.54
Toys,Generic,Good,11,3.5,908,9.64,7.42
Clothing,TechPro,Refurbished,45,3.7,903,17.45,41.21
Electronics,SportMax,Fair,52,4.3,306,3.32,220.58
Beauty,Premium,Like New,58,4.3,713,8.12,22.22
Food,EcoFriendly,Refurbished,28,3.8,206,5.23,11.12
Automotive,HomeStyle,New,30,3.8,23,8.57,171.35
Sports,Generic,Refurbished,3,4.5,381,19.75,26.07
Home & Kitchen,Generic,Fair,52,3.8,739,17.48,10.97
Automotive,Standard,New,33,4.6,294,5.61,170.89
Health,Luxury,Like New,11,3.8,529,12.67,131.96
Books,SportMax,New,14,3.5,793,14.34,30.04
Food,TechPro,New,44,3.9,501,17.43,17.15
Sports,Standard,Fair,46,4.2,230,7.25,27.74
Clothing,Budget,Fair,58,3.6,27,5.24,7.16
Books,SportMax,Good,36,3.0,448,15.49,12.53
Beauty,HomeStyle,Fair,2,3.9,591,10.44,23.7
Sports,HomeStyle,Refurbished,9,4.3,360,8.67,79.59
Home & Kitchen,TechPro,Like New,0,3.5,885,3.44,121.05
Health,SportMax,Like New,56,4.2,686,13.31,43.85
Clothing,Generic,Fair,43,3.9,366,17.38,6.75
Toys,SportMax,Good,43,4.1,915,5.47,20.87
Electronics,Generic,Good,19,3.1,0,2.53,121.97
Health,BasicValue,Fair,5,3.4,58,6.39,15.06
Home & Kitchen,HomeStyle,Refurbished,41,3.8,241,19.31,38.0
Automotive,EcoFriendly,Good,42,3.0,216,12.82,110.56
Food,SportMax,Fair,46,4.0,918,13.37,7.76
Automotive,EcoFriendly,Like New,19,3.3,637,6.23,174.44
Sports,BasicValue,Fair,54,3.3,340,1.97,13.69
Sports,TechPro,New,7,3.3,357,17.38,201.12
Toys,HomeStyle,Fair,54,5.0,426,13.7,8.15
Beauty,Budget,Fair,49,3.5,537,17.39,6.41
Electronics,Budget,Refurbished,7,4.6,963,13.56,209.6
Health,EcoFriendly,New,18,4.9,653,7.94,67.83
Automotive,Standard,Refurbished,27,3.3,703,1.06,109.28
Automotive,Premium,Like New,8,4.7,88,17.43,319.57
Beauty,Budget,New,40,3.2,609,8.14,17.83
Automotive,Generic,Good,45,4.9,18,16.18,41.11
Health,TechPro,New,18,4.7,640,2.49,113.74
Toys,SportMax,Fair,53,4.3,724,6.56,10.76
Toys,HomeStyle,Refurbished,20,3.8,604,9.03,16.13
Electronics,BasicValue,New,48,4.1,290,4.62,152.94
Sports,Generic,Like New,45,4.3,961,9.32,21.13
Clothing,TechPro,New,2,4.1,327,10.43,99.2
Clothing,HomeStyle,Like New,25,3.2,132,8.04,38.38
Books,Premium,New,36,3.5,739,12.2,25.7
Toys,Premium,Good,49,4.4,426,0.46,22.11
Toys,EcoFriendly,Fair,22,3.9,335,12.98,16.35
Home & Kitchen,Luxury,Refurbished,10,3.8,323,18.7,138.9
Beauty,BasicValue,Like New,21,3.4,333,9.77,13.77
Home & Kitchen,Budget,New,26,4.9,155,10.83,37.21
Health,TechPro,Refurbished,15,3.2,669,14.35,63.6
Sports,HomeStyle,Refurbished,24,4.0,262,13.65,51.87
Home & Kitchen,Luxury,Fair,9,4.6,158,14.21,109.18
Books,HomeStyle,Good,41,4.8,83,9.72,9.65
Electronics,HomeStyle,Good,6,4.6,171,0.96,440.72
Food,Budget,New,54,4.3,276,17.7,5.0
Automotive,EcoFriendly,Refurbished,8,4.6,782,12.26,196.82
Books,TechPro,Good,7,4.5,48,4.81,27.23
Automotive,Generic,Like New,36,3.6,663,16.47,60.7
Beauty,HomeStyle,New,17,4.5,969,9.09,38.79
Sports,TechPro,Refurbished,49,3.3,560,14.76,65.56
Toys,BasicValue,Good,16,3.4,804,12.88,10.36
Books,Premium,Fair,27,3.4,522,4.72,15.66
Books,Premium,Refurbished,24,5.0,802,11.98,16.43
Electronics,BasicValue,Fair,17,3.8,373,8.97,130.88
Books,Luxury,Refurbished,3,4.4,553,18.12,35.0
Toys,Luxury,Like New,44,3.2,743,12.94,33.27
Health,Generic,Like New,32,3.5,424,12.38,18.88
Clothing,Premium,Good,12,4.0,641,13.43,60.3
Automotive,Premium,Refurbished,7,4.8,561,13.63,225.43
Toys,Budget,New,43,3.6,258,3.89,11.14
Books,EcoFriendly,Fair,37,4.1,353,8.98,8.63
Home & Kitchen,Luxury,Like New,51,3.1,811,1.87,93.38
Food,EcoFriendly,Refurbished,46,3.4,207,8.25,7.67
Food,Generic,Like New,29,3.9,911,0.12,5.0
Books,HomeStyle,Good,22,3.8,103,0.5,12.84
